TM01_WILL_O_WISP    FIERY PATH
TM02_DRAGON_CLAW    METEOR FALLS BAGON ROOM
TM03_HYDRO_PUMP     SOOTOPOLIS GYM
TM04_CALM_MIND      MOSSDEEP GYM
TM05_HYPER_VOICE    ROUTE 114 POOCHYENA MAN
TM06_TOXIC          ROUTE 115
TM07_HAIL           SHOAL CAVE ICE ROOM
TM08_BULK_UP        DEWFORD GYM
TM09_SEED_BOMB      ROUTE 104
TM10_HIDDEN_POWER   FORTREE CITY
TM11_SUNNY_DAY      SCORCHED SLAB
TM12_NIGHT_SLASH    ROUTE 110 TRICK HOUSE
TM13_ICE_BEAM       MAUVILLE GAME CORNER
TM14_BLIZZARD       LILYCOVE DEPT. STORE
TM15_HYPER_BEAM     LILYCOVE DEPT. STORE
TM16_LIGHT_SCREEN   LILYCOVE DEPT. STORE
TM17_PROTECT        LILYCOVE DEPT. STORE
TM18_RAIN_DANCE     ABANDONED SHIP
TM19_ENERGY_BALL    ROUTE 123
TM20_SAFEGUARD      LILYCOVE DEPT. STORE
TM21_POISON_JAB     ABANDONED SHIP
TM22_X_SCISSOR      SAFARI ZONE
TM23_FLASH_CANNON   METEOR FALLS ENTRANCE
TM24_THUNDERBOLT    MAUVILLE GAME CORNER
TM25_THUNDER        LILYCOVE DEPT. STORE
TM26_EARTHQUAKE     SEAFLOOR CAVERN
TM27_RETURN         PACIFIDLOG TOWN
TM28_DIG            ROUTE 114 FOSSIL MANIAC'S HOUSE
TM29_PSYCHIC        MAUVILLE GAME CORNER
TM30_SHADOW_BALL    MAUVILLE GAME CORNER
TM31_BRICK_BREAK    SOOTOPOLIS CITY
TM32_DOUBLE_TEAM    ROUTE 113 (HIDDEN)
TM33_REFLECT        LILYCOVE DEPT. STORE
TM34_THUNDER_WAVE   MAUVILLE GYM
TM35_FLAMETHROWER   MAUVILLE GAME CORNER
TM36_SLUDGE_BOMB    DEWFORD TOWN
TM37_SANDSTORM      ROUTE 111 (DESERT)
TM38_FIRE_BLAST     LILYCOVE DEPT. STORE
TM39_ROCK_SLIDE     RUSTBORO GYM
TM40_DUAL_WINGBEAT  FORTREE GYM
TM41_CONFUSE_RAY    SLATEPORT CITY BATTLE TENT
TM42_GIGA_IMPACT    PETALBURG GYM
TM43_SECRET_POWER   ROUTE 111
TM44_REST           LILYCOVE CITY
TM45_PLAY_ROUGH     VERDANTURF TOWN CONTEST HALL
TM46_THIEF          S.S. TIDAL
TM47_IRON_HEAD      GRANITE CAVE (STEVEN)
TM48_ZEN_HEADBUTT   MT. PYRE EXTERIOR
TM49_DARK_PULSE     AQUA HIDEOUT
TM50_FLARE_BLITZ    LAVARIDGE GYM
TM51_FIRE_PUNCH     SLATEPORT CITY
TM52_ICE_PUNCH      SLATEPORT CITY
TM53_THUNDER_PUNCH  SLATEPORT CITY
TM54_POWER_GEM      GRANITE CAVE B2F
TM55_COSMIC_POWER   FALLARBOR TOWN
TM56_DAZZLING_GLEAM MOSSDEEP CITY
TM57_DRAGON_PULSE   VICTORY ROAD
TM58_SHADOW_CLAW    MT. PYRE 6F
TM59_AIR_SLASH      ROUTE 107
TM60_EARTH_POWER    JAGGED PASS (ACRO BIKE)
TM61_AURA_SPHERE    SOOTOPOLIS CITY
TM62_FOCUS_BLAST    LILYCOVE DEPT. STORE
TM63_HYPNOSIS       SLATEPORT MUSEUM
TM64_SIGNAL_BEAM    ROUTE 103 EAST SIDE
TM65_VOLT_TACKLE    NEW MAUVILLE SIDEQUEST
TM66_LIQUIDATION    PETALBURG WOODS (CUT)
TM67_SCALD          ROUTE 127
TM68_CLOSE_COMBAT   EVER GRANDE CITY (HIDDEN)
TM69_WORK_UP        ROUTE 116 EAST (MACH BIKE)
TM70_STONE_EDGE     MAGMA HIDEOUT
TM71_FOCUS_ENERGY   PETALBURG CITY (SURF)
TM72_HONE_CLAWS     ROUTE 111 (SURF)
TM73_PSYSHOCK       ROUTE 114 (WATERFALL)
TM74_CURSE          ROUTE 118 EAST
TM75_FALSE_SWIPE    OLDALE TOWN
